item,listing
gathered_skirt,"Girl Skirt Pattern, PDF sewing pattern,easy pattern girls,pdf girls pattern,girls skirt pdf,little girls pattern,girls pdf sewing,pdf sewing"
criss_cross_cape,"Girl Cape PDF, cape pattern, winter coat PDF, girl coat pattern, coat sewing pattern, girl cape pattern, girl coat pdf, cape sewing PDF"
lottie_bonnet,"Baby Bonnet PDF, baby hat pattern, bonnet sewing pdf, bonnet pattern, toddler bonnet pdf, newborn, 3 mo, 6-12 mo, 12-18 mo, 2T, 3T sizes"
criss_cross_cape,"Girl Cape PDF US letter, cape pattern, girl coat pattern, coat sewing pattern, girl cape pattern, girl coat pdf, cape sewing PDF"
lottie_bonnet,"Baby Bonnet PDF, bonnet pattern, newborn pdf, baby hat pattern, baby sewing pattern, sizes newborn, 3 mo, 6 mo, 12 mo, 18mo, 2, 3 years"
belted_shorts,"Girl Shorts PDF, summer shorts pdf, shorts pattern, elastic shorts pdf, pattern shorts, children's shorts PDF, size 2t, 3t, 4t, 5, 6, 7, 8"
lucy,"Girl Blouse Pattern, girl top pattern, children blouse pdf, kids pdf pattern, girl pdf pattern, size 2T, 3T, 4T, 5, 6, 7, 8,10,12"
flora,"Baby Diaper PDF, first birthday girl, baby sewing pattern, baby girl pdf, newborn pdf, diaper cover pattern, size 0-3 mo, 6 mo, 9 mo, 12 mo"
flora,"Diaper Cover PDF, baby sewing pattern, baby pdf pattern, newborn pdf, baby patterns, diaper cover pattern, size 0-3 mo, 6 mo, 9 mo, 12 mo"
venezia,"Baby Girl Romper PDF,baby sewing pattern,romper pdf pattern,baby girl patterns,summer baby PDF, children patterns, baby pdf, sewing pattern,"
beaded_collar,"Beaded Collar PDF, collar pattern, cape collar PDF, jeweled collar pdf, girl collar pdf, collar pdf download, size 4-6, 8-10, 12-14 girls"
criss_cross_cape,"Girl Cape PDF A4, cape pattern, winter coat PDF, girl coat pattern, coat sewing pattern, girl cape pattern, girl coat pdf, cape sewing PDF"
lucy,"Girl Blouse PDF, download girl pdf, childrens blouse pdf, top girl pattern, easy sewing pattern, fall clothing pdf, size 2T, 3T, 4T, 5, 6"
lucy,"Girl Blouse PDF, download girl shirt, spring shirt pattern, children shirt PDF, toddler top pattern, sizes 3/4, 5/6, 7/8, 9/10, 11/12"
gathered_skirt,"Girl Skirt PDF, skirt pattern, elastic skirt PDF, easy sewing pattern, gathered skirt PDF, skirt download, tween skirt pattern, size 3-14"
