item_name,PDF,item_title
custom,0,['Garden Skirt'
custom,0," 'Reserved Listing: girl organic shorts, blue organic cotton, tween clothing, school clothing, striped shorts girl, size 12, 14'"
custom,0, 'Custom order--Size 12/14'
custom,0," 'Reserved Listing:  girls shorts, organic chambray, tween clothing, cotton shorts, size 12, 14'"
custom,0," 'Reserved Listing: girl top, organic cotton, yellow top, tween clothing, bird cotton, retro clothing, size 12, 14'"
custom,0," 'Reserved Listing: organic cotton twill, pink shorts, tween clothing, cotton shorts, size 12, 14'"
custom,0," 'Reserved Listing: Girl Organic Shorts, cotton blue shorts, daisy shorts, girls clothing, 12 size'"
sequin_skirt,0," 'Girl Holiday Skirt, sequined girl skirt,knee length skirt,party gold skirt,toddler holiday,special occasion,size 2T, 3T, 4T, 5, 6, 8, 10, 12'"
sequin_skirt,0," 'Girl Holiday Skirt,sequined girl skirt,knee length skirt,tween gold skirt,toddler holiday,special occasion,size 2T, 3T, 4T, 5, 6, 8, 10, 12'"
custom,0," 'Custom Listing for Kris, girl blouse, cotton voile, long-sleeved, size 8'"
custom,0," 'Baby girl romper, first birthday girl, infant girl outfit, cotton baby clothes, baby bubble romper, 3-6 mo, 6-9 mo, 9-12 mo, 12-18 mo sizes'"
gathered_skirt,1," 'Girl Skirt Pattern, PDF sewing pattern,easy pattern girls,pdf girls pattern,girls skirt pdf,little girls pattern,girls pdf sewing,pdf sewing'"
custom,0," 'Girl Blouse,girl polka dot top,ivory girl top,winter clothing,holiday clothing,dressy shirt,toddler clothing,size 2T, 3T, 4T, 5, 6, 7, 8, 10'"
custom,0," 'Girl Holiday Skirt, turquoise skirt, blue sequined skirt, tulle party skirt, hannukah skirt, special occasion, 4T, 5, 6, 7, 8, 10, 12, 14'"
custom,0," 'Girl Tutu, girl tulle skirt, ballerina skirt, ballet girl clothing, children dance skirt, birthday skirt, size 2T, 3T, 4T, 5, 6, 8, 10'"
custom,0," 'Baby bonnet, lace bonnet, toddler bonnet, baptism bonnet, off white baby hat, 1-3 mo, 3-6 mo, 6-9 mo, 9-12 mo, 12-18 mo, 18-24 mo sizes'"
custom,0," 'Girl Sequin Skirt, holiday clothing, tulle holiday skirt, special occasion, sequin skirt girl, children wedding,4T, 5, 6, 7, 8, 10, 12 sizes'"
custom,0," 'Girl Holiday Skirt,sequined girl skirt,new years skirt,tween gold skirt,toddler holiday,special occasion,size 2T, 3T, 4T, 5, 6, 8, 10, 12'"
criss_cross_cape,1," 'Girl Cape PDF, cape pattern, winter coat PDF, girl coat pattern, coat sewing pattern, girl cape pattern, girl coat pdf, cape sewing PDF'"
custom,0," 'Girl Holiday Skirt,sequined girl skirt,new years skirt,tween gold skirt, holiday skirt,special occasion,size 16-18'"
custom,0," 'Girl Silk Dress,special occasion,couture clothing,recital girl dress,party dress girls,boutique clothing,3T, 4T, 5, 6, 7, 8, 10,and 12 sizes'"
custom,0," 'Girl Clothing Set, toddler shorts, ticking shirt, girl sleeveless top, floral shorts, blue stripe top,1T, 2T, 3T, 4T, 5, and 6 sizes'"
custom,0, 'Custom listing for M. T.'
custom,0," 'Girls Cape, winter child coat, girls winter cape, children coat, special occasion, spring coat, girl wrap, size 4T, 5, 6, 7, 8, 10, 12, 14'"
custom,0," 'Girls Dress, spring clothing, sequin girl dress,pink tulle dress,special occasion, Easter dress, size 2T, 3T, 4T, 5, 6, 7, 8, 10, 12'"
custom,0," ""Boy's Dress Shirt, boy cotton shirt, special occasion, wedding boy shirt, long sleeved oxford, size 2T, 3T, 4T, 5, 6, 7, 8, 10, 12"""
beaded_collar,1," 'Beaded Collar PDF, collar pattern, cape collar PDF, jeweled collar pdf, girl collar pdf, collar pdf download, size 4-6, 8-10, 12-14 girls'"
lottie,1," 'Baby Bonnet PDF, baby hat pattern, bonnet sewing pdf, bonnet pattern, toddler bonnet pdf, newborn, 3 mo, 6-12 mo, 12-18 mo, 2T, 3T sizes'"
lucy,1," 'Girl Blouse PDF, download girl shirt, spring shirt pattern, girl Easter PDF, toddler top pattern, sizes 3/4, 5/6, 7/8, 9/10, 11/12'"
custom,0, 'Custom Listing for M. C.'
custom,0," ""Girl Sequin Skirt, gold skirt 3T, children's clothing, toddler wedding, elastic gold skirt, little girl skirt, special occasion, size 3T"""
custom,0," 'Girls Cape, winter girl coat, childs winter cape, tween cape, winter girl wrap, couture clothing,spring cape,size 4T, 5, 6, 7, 8, 10, 12, 14'"
custom,0," 'Girls Skirt,chevron skirt,A-line skirt,tween clothing,pink cotton skirt,knee length skirt,boutique clothing,sizes 4T, 5T, 6, 7, 8, 10,and 12'"
custom,0," 'Girl Sequined Skirt,turquoise skirt,blue sequin skirt,tulle party skirt,tween skirt,dance skirt,special occasion,4T, 5, 6, 7, 8, 10, 12, 14'"
custom,0," 'Girl holiday top, purple girl shirt, couture clothing, boutique clothing, birthday top, mod girl clothing, size 2T, 3T, 4T, 5, 6, 8, 10, 12'"
belted_shorts,1," ""Girl Shorts PDF, summer shorts pdf, shorts pattern, elastic shorts pdf, pattern shorts, children's shorts PDF, size 2t, 3t, 4t, 5, 6, 7, 8"""
custom,0," 'Baby Set,Baby Diaper Cover,first birthday girl,mod baby clothes, cotton baby clothing, infant easter, shower gift girl, baby cotton set'"
custom,0," 'Girl Sequined Skirt, pink tween skirt, birthday skirt, valentines skirt, special occasion, pink wedding, 3T, 4T, 5, 6, 7, 8, 10, 12, 14'"
custom,0," 'Girl Skirt, Valentine girl skirt, pink cotton skirt, knee length skirt, classic clothing, toddler skirt, sizes 3T, 4T, 5, 6, 7, 8, 10, 12'"
custom,0," ""Girl Blouse, floral top, children's clothing, spring top, toddler shirt, baby girl, dressy clothing, size 2T"""
custom,0," 'Baby bonnet, lace bonnet,toddler bonnet baptism bonnet linen baby hat,linen bonnet,1-3 mo, 3-6 mo, 6-9 mo, 9-12 mo, 12-18 mo, 18-24 mo sizes'"
criss_cross_cape,1," 'Girl Cape PDF US letter, cape pattern, girl coat pattern, coat sewing pattern, girl cape pattern, girl coat pdf, cape sewing PDF'"
custom,0," ""Girl Blouse, floral top, children's clothing, spring top, toddler shirt, baby girl, dressy clothing, 2T, 3T, 4T, 5, 6, 7, and 8 size"""
lucy,1," 'Girl Blouse Pattern, girl top pattern, children blouse pdf, kids pdf pattern, girl pdf pattern, size 2T, 3T, 4T, 5, 6, 7, 8,10,12'"
lottie,1," 'Baby Bonnet PDF, bonnet pattern, newborn pdf, baby hat pattern, baby sewing pattern, sizes newborn, 3 mo, 6 mo, 12 mo, 18mo, 2, 3 years'"
custom,0," 'Girl Sequined Skirt, pink tween skirt, birthday skirt, toddler skirt, special occasion, pink wedding, 3T, 4T, 5, 6, 7, 8, 10, 12, 14'"
custom,0," 'Girl Pants, linen clothing, girls sailor pants, button pants, white linen clothing, Jilly Atlanta, sizes 2T, 3T, 4T, 5, 6, 7, and 8 sizes'"
custom,0," 'Girl Sequin Skirt, gold sequin skirt,elastic gold skirt, little girl skirt,special occasion, toddler wedding, toddler skirt, size 2T, 3T, 4T'"
custom,0," 'Girl Organic Top, turquoise shirt,organic cotton shirt,ruffled girl shirt,boutique clothing,winter clothing,sizes 3T, 4T, 5, 6, 7, 8, 10, 12'"
custom,0," 'Girl Blouse, girl white shirt, spring clothes, easter girl shirt, little girl clothing, special occasion, sizes 2T, 3T, 4T, 5, 6, 7, 8'"
custom,0, 'Custom Listing (material only) for M.'
custom,0," 'Flower girl dress, special occasion, girl wedding dress,rustic flower girl, toddler white dress, vintage style, 2T, 3T, 4T, 5, 6, 7, 8 sizes'"
custom,0, 'Upgrade for Express Shipping'
lucy,1," 'Girl Blouse PDF, download girl shirt, spring shirt pattern, children shirt PDF, toddler top pattern, sizes 3/4, 5/6, 7/8, 9/10, 11/12'"
custom,0, 'Custom Listing for Aimee H.'
