,item_name
11,"Girl Skirt Pattern, PDF sewing pattern,easy pattern girls,pdf girls pattern,girls skirt pdf,little girls pattern,girls pdf sewing,pdf sewing"
16,"Girl Cape PDF, cape pattern, winter coat PDF, girl coat pattern, coat sewing pattern, girl cape pattern, girl coat pdf, cape sewing PDF"
25,"Baby Bonnet PDF, baby hat pattern, bonnet sewing pdf, bonnet pattern, toddler bonnet pdf, newborn, 3 mo, 6-12 mo, 12-18 mo, 2T, 3T sizes"
32,"Girl Cape PDF US letter, cape pattern, girl coat pattern, coat sewing pattern, girl cape pattern, girl coat pdf, cape sewing PDF"
35,"Baby Bonnet PDF, bonnet pattern, newborn pdf, baby hat pattern, baby sewing pattern, sizes newborn, 3 mo, 6 mo, 12 mo, 18mo, 2, 3 years"
43,"Girl Shorts PDF, summer shorts pdf, shorts pattern, elastic shorts pdf, pattern shorts, children's shorts PDF, size 2t, 3t, 4t, 5, 6, 7, 8"
47,"Girl Blouse Pattern, girl top pattern, children blouse pdf, kids pdf pattern, girl pdf pattern, size 2T, 3T, 4T, 5, 6, 7, 8,10,12"
64,"Baby Diaper PDF, first birthday girl, baby sewing pattern, baby girl pdf, newborn pdf, diaper cover pattern, size 0-3 mo, 6 mo, 9 mo, 12 mo"
75,"Diaper Cover PDF, baby sewing pattern, baby pdf pattern, newborn pdf, baby patterns, diaper cover pattern, size 0-3 mo, 6 mo, 9 mo, 12 mo"
80,"Baby Girl Romper PDF,baby sewing pattern,romper pdf pattern,baby girl patterns,summer baby PDF, children patterns, baby pdf, sewing pattern,"
87,"Beaded Collar PDF, collar pattern, cape collar PDF, jeweled collar pdf, girl collar pdf, collar pdf download, size 4-6, 8-10, 12-14 girls"
130,"Girl Cape PDF A4, cape pattern, winter coat PDF, girl coat pattern, coat sewing pattern, girl cape pattern, girl coat pdf, cape sewing PDF"
138,"Girl Blouse PDF, download girl pdf, childrens blouse pdf, top girl pattern, easy sewing pattern, fall clothing pdf, size 2T, 3T, 4T, 5, 6"
154,"Girl Blouse PDF, download girl shirt, spring shirt pattern, children shirt PDF, toddler top pattern, sizes 3/4, 5/6, 7/8, 9/10, 11/12"
188,"Girl Skirt PDF, skirt pattern, elastic skirt PDF, easy sewing pattern, gathered skirt PDF, skirt download, tween skirt pattern, size 3-14"
199,"Girl blouse PDF, girl dress pattern, sewing girl pattern, kids pdf, top girl pattern, boho blouse pdf, Cali pattern, Cali, size 2T,3T,4T,5,6"
209,"Girl Cape PDF A4, cape pattern, winter coat PDF, girl coat pattern, coat sewing pattern, Criss cross cape, girl coat pdf, cape sewing PDF"
211,"Girl Cape PDF US letter, cape pattern, girl coat pattern, coat sewing pattern, girl coat pdf, cape sewing PDF, winter pdf, Criss Cross Cape,"
249,"Girl Blouse PDF, download girl shirt, spring shirt pattern, children shirt PDF, girl top pattern, Lucy pattern,sizes 3/4,5/6,7/8,9/10, 11/12"
362,"Girl Blouse PDF, download girl pdf, childrens blouse pdf, top girl pattern, easy sewing pattern, Marcelle Blouse pdf, size 2T, 3T, 4T, 5, 6"
363,"Girls Blouse PDF, sewing pattern, top pattern, Charlotte pattern, girl dress pdf, sewing pdf girl, sizes 2T, 3T, 4, 5, 6, 7, and 8"
370,"Girls Blouse PDF, sewing pattern, top pattern, Charlotte pdf, girl dress pdf, sewing pdf girl, sizes 2T, 3T, 4, 5, 6, 7, and 8"
452,"Baby Girl Romper PDF, Venezia Romper PDF, baby girl patterns, summer baby PDF, baby sewing patterns, toddler pattern, 0-3, 6, 9, 12, 18 mo"
453,"Girl Blouse PDF, download girl shirt, spring shirt pattern, children shirt PDF, girl top pattern, Lucy pattern,sizes 2T,3T,4T,5T,6,7,8,10,12"
500,"Girl Blouse Pattern, Angelica Blouse PDF, girl top pattern, children blouse pdf, kids pdf pattern, top pdf, size 2T, 3T, 4T, 5, 6, 7,8,10,12"
594,"Girl Shorts PDF, Belted Shorts PDF, summer shorts pdf, shorts pattern, elastic shorts pdf, children's shorts PDF, size 2t, 3t, 4t, 5, 6, 7,8"
